Category,Subcategory,EWR Code,Description,LTWP Area
Low flow,Base flow two,BF2_a,Base flow two events where durations largely occur at the 50th percentile at the relevant gauge and should occur at a minimum of 50% of the time (frequency). This aligns with preferred or “typical years” duration expressed in the LTWPs. These differ from base flow one as they have a seasonal restriction. The exception for this rule in the Gwydir LTWP which is largely based off expert knowledge of the system due to low confidence in the modelling of low flows.,
Low flow,Base flow two,BF2_b,Base flow two events where durations largely occur at the 5th percentile at the relevant gauge and should occur 100% of the time (frequency) to avoid extreme event. This aligns with “dry or very dry years” durations expressed in the LTWPs. These differ from base flow one as they have a seasonal restriction. These EWRs vary slightly in the Macquarie as they are based off the 25th percentile at the relevant gauge and should occur 75% of the time (frequency) to avoid extreme events. They also vary in the Gwydir LTWP which is largely based off expert knowledge of the system due to low confidence in the modelling of low flows.,
Low flow,Base flow two,"BF2a, BF2b, BF2c","Only in the Murray- Lower Darling LTWP BF2a, BF2b and BF2c are different to BF2_a and BF2_b and represent three different seasonality’s that the BF2 EWR should occur at. These are based off expert understanding of the system.",
Low flow,Base flow three,BF3,Base flow three is introduced when the parameters of base flow one and base flow two do not cover the requirements of a system and an additional base flow EWR is needed. These are expressed as consecutive days and are calculated under the standard flow methodology.,
Low flow,Base flow three,BF3_P,When baseflow three specifies a timing window or anytime BF3_P assesses the EWR with the preferred timing window. NSW LTWP Hydrological EWR Assessment Guide Base flow three is introduced when the parameters of base flow one and base flow two do not cover the requirements of a system. These are expressed as consecutive days and are calculated under the standard flow methodology.,
Low flow,Base flow three,BF3_S,When baseflow three specifies a timing window or anytime BF3_S assesses the EWR for anytime. Base flow three is introduced when the parameters of base flow one and base flow two do not cover the requirements of a system. These are expressed as consecutive days and are calculated under the standard flow methodology.,
Low flow,De-stratifying flow,"DSF, DSF1",De-stratifying EWR (flow) required to de-stratify refuge pools during periods of identified high risk. Present in the Macquarie-Castlereagh and Murrumbidgee. These are not assessed in the tool as they are guidelines for event-based action for water managers.,
Standard flow,Small fresh,"SF1, SF1_P, SF1_a_P, SF1_b_P, SF1_S, SF1_a_S, SF1_b_S","SF1 applies to all LTWP areas. SF1 applies when there is only one timing in the EWR table in Part B of the LTWPs. The addition of _P and _S occurs when SF1 has ""preferred"" seasonal period (_P) or anytime which is labelled as “satisfactory” (_S). For example, “Aug-May or anytime”. The SF1 a/b split is in NSW Border Rivers only and represents two different durations for SF1.",All LTWP Areas
Standard flow,Small fresh,"SF2, SF2_P, SF2_S","SF2 EWR category applies to all LTWP areas. SF2 applies when there is only one timing applied, as in the EWR table in Part B of the LTWPs. The addition of _P and _S occurs when SF2 has ""preferred"" seasonal period (_P) or anytime which is considered “satisfactory” (_S). For example, “Aug-May or anytime”.",All LTWP Areas
Standard flow,Small fresh,"SF3, SF3_P, SF3_S","The SF3 EWR is added when SF1 and SF2 do not cover all their required small fresh needs. SF3 applies when there is only one timing applied, as in the EWR table in Part B of the LTWPs. The addition of _P and _S occurs when SF3 has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).","Gwydir, Intersecting Streams, Lachlan, Macquarie-Castlereagh, Murray Lower Darling, Murrumbidgee"
Standard flow,Large fresh,"LF1, LF1_P, LF1_S","LF1 applies to all LTWP areas. LF1 applies when there is only one timing applied, as in the EWR table in Part B of the LTWPs. The addition of _P and _S occurs when LF1 has ""preferred"" seasonal period (_P) or anytime which is considered “satisfactory” (_S).",All LTWP Areas
Standard flow,Large fresh,"LF2, LF2_P, LF2_S","LF2 applies to all LTWP areas. LF2 applies when there is only one timing applied, as in the EWR table in Part B of the LTWPs. The addition of _P and _S occurs when LF2 has ""preferred"" seasonal period (_P) or anytime which is considered “satisfactory” (_S).",All LTWP Areas
Standard flow,Large fresh,"LF3, LF3_P, LF3_S","The EWR LF3 is added when LF1 and LF2 do not cover all their required small fresh needs. LF3 applies when there is only one timing applied, as in the EWR table in Part B of the LTWPs. The addition of _P and _S occurs when LF3 has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).","Gwydir, Intersecting Streams, Lachlan, Murray Lower Darling, Murrumbidgee, Namoi, NSW Border Rivers"
Standard flow,Large fresh,"LF4_P, LF4_S","The EWR LF4 is added when LF1 and LF2 do not cover all their required small fresh needs. LF3 applies when there is only one timing applied, as in the EWR table in Part B of the LTWPs. The addition of _P and _S occurs when LF4 has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).","Gwydir, Murray Lower Darling"
Standard flow,Large fresh,"LF5_P, LF5_S","The EWR LF5 is added when LF1 and LF2 do not cover all their required small fresh needs. LF5 applies when there is only one timing applied, as in the EWR table in Part B of the LTWPs. The addition of _P and _S occurs when LF4 has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Gwydir
Standard flow,Large fresh,"W-LF4_P, W-LF4_S, W-LF5, W-LF6_P, W-LF6_S, W-LF7, W-LF8","Wetland connection flows in the Murrumbidgee are achieved through larger large fresh EWRs. Flows connect to anabranches and wetlands but remain under bankfull level. The EWR group W-LF** applies when there is only one timing applied, as in the EWR table in Part B of the LTWPs. The addition of _P and _S occurs when W_LF** has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Murrumbidgee
Standard flow,Bankfull/ Anabranch connection,"BK1, BK1_P, BK1a_P, BK1b_P, BK1_S","This group in variations of the Bankfull One (BK1) EWRs. BK1 applies when there is only one timing applied, as in the EWR table in Part B of the LTWPs. The addition of _P and _S occurs when BK1 has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S). The split of a and b occurs in the Murray Lower Darling where there are two separate timings required as per the EWR table in Part B of the LTWP.","Barwon-Darling, Gwydir, Lachlan, Murray Lower Darling, Namoi, NSW Border Rivers"
Standard flow,Bankfull/ Anabranch connection,"BK1_ds, BK1_us, BK2_ds, BK2_us",The ds and us split of bankfull EWRs occurs in the NSW Border Rivers and is to account for different parameter requirements (including flow threshold) for bankfulls upstream (_us) and downstream (_ds) of the gauge used. This occurs for both BK1 and Bankfull two (BK2) EWRs and can be found in the EWR tables in Part B of the LTWP.,NSW Border Rivers
Standard flow,Bankfull/ Anabranch connection,"BK2, BK2_P, BK2_S","Bankfull two (BK2) often has the same threshold but a different timing to bankfull one (BK1). BK2 applies when there is only one timing applied, as the per EWR tables in Part B of the LTWPs. The addition of _P and _S occurs when BK2 has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).","Murray Lower Darling, Namoi, NSW Border Rivers"
Standard flow,Bankfull/ Anabranch connection,"AC1, AC1_P, AC1_S, AC2","Anabranch connecting EWRs that begin to inundate off channel habitat and low-lying wetlands. AC1 or AC2 applies when there is only one timing applied, as the per EWR tables in Part B of the LTWPs. The addition of _P and _S occurs when AC1 has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Namoi
Standard flow,Overbank/ wetland connection,"WL1, WL1_P, WL1_S, WL2, WL2_P, WL2_S, WL3, WL3_P, WL3_S, WL4","These EWR codes represent a range of wetland inundation flow EWRs which provide broadscale lateral connectivity. This code is only used in the Lachlan although there are other wetland flows in other catchments that use alternate codes. These can all be found in the EWR table in Part B of the LTWPs. WL** applies when there is only one timing applied. The addition of _P and _S occurs when WL** has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Lachlan
Standard flow,Overbank/ wetland connection,"OB/WS2, OB/WS2_P, OB/WS2_S, OB/WS3, OB/WS3_P, OB/WS3_S, OB/WS4, OB/WS4_P, OB/WS4_S, OB/WM, OB/WM_P, OB/WM_S, OB/WL, OB/WL_P, OB/WL_S","These EWR codes represent a range of overbank/ wetland inundating flow EWRs which provide broadscale lateral connectivity. They range from small (OBWS*) to large (OBWL*) overbank/ wetland inundating flows. This code is only used in the Macquarie-Castlereagh although there are other wetland flows in other catchments. These can all be found in the EWR table in Part B of the LTWPs. OB/*** applies when there is only one timing applied. The addition of _P and _S occurs when OB/*** has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Macquarie-Castlereagh
Standard flow,Overbank/ wetland connection,"OB1, OB1_P, OB1_S, OB2, OB2_P, OB2_S","These EWR codes represent a range of overbank flow EWRs that provide lateral connection within the planning units they are applied to. The split of a and b occurs in the Murray Lower Darling only where there are multiple seasonal timings required for OB2, these can be found in the EWR tables in Part B of the LTWP. The addition of _P and _S occurs when OB** has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",All LTWP Areas
Standard flow,Overbank/ wetland connection,"OB2a_P, OB2a_S, OB2b_P, OB2b_S","These EWR codes represent a range of overbank flow EWRs that provide lateral connection within the planning units they are applied to. The split of a and b occurs in the Murray Lower Darling only where there are multiple seasonal timings required for OB2, these can be found in the EWR tables in Part B of the LTWP. The addition of _P and _S occurs when OB** has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Murray Lower Darling
Standard flow,Overbank/ wetland connection,"OB2_WHA_P, OB2_WHA_S","These EWR codes represent a specific overbank EWR, OB2_Whalan, in the NSW Border Rivers Macintyre River floodplain upstream of Boomi River planning unit. They assist in the achievement of EWRs within the adjoining planning unit Whalan Creek. The addition of _P and _S occurs when OB2_WHA has a ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",NSW Border Rivers
Standard flow,Overbank/ wetland connection,"OB3, OB3_P, OB3_S, OB3a_P, OB3a_S, OB3b_P, OB3b_S","These EWR codes represent additional overbank flow EWRs when standard OB1 and OB2 do not cover the range of lateral connectivity encountered in the planning unit. The addition of _P and _S occurs when OB** has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).","Barwon-Darling, Gwydir, Intersecting Streams, Lachlan, Murray Lower Darling, Namoi"
Standard flow,Overbank/ wetland connection,"OB4, OB4_P, OB4_S","These EWR codes represent additional overbank flow EWRs when standard OB1 and OB2 do not cover the range of lateral connectivity encountered in the planning unit. The addition of _P and _S occurs when OB** has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).","Gwydir, Intersecting Streams, Lachlan, Murray Lower Darling, Namoi"
Standard flow,Overbank/ wetland connection,"OB5, OB5_P, OB5_S","These EWR codes represent additional overbank flow EWRs when standard OB1 and OB2 do not cover the range of lateral connectivity encountered in the planning unit. The addition of _P and _S occurs when OB** has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).","Gwydir, Lachlan, Murray Lower Darling, Namoi"
Standard flow,Overbank/ wetland connection,"OB6_P, OB6_S, OB7_P, OB7_S, OB8_P, OB8_S, OB9, OB10","These EWR codes represent additional overbank flow EWRs when standard OB1 and OB2 do not cover the range of lateral connectivity encountered in the planning unit. The addition of _P and _S occurs when OB** has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Murray Lower Darling
Standard flow,Overbank/ wetland connection,"OB-S1, OB-S2, OB-S2_P, OB-S2_S, OB-L1, OB-L1_P, OB-L1_S","These EWR codes represent a range of overbank flow EWRs which provide broadscale lateral connectivity in the Murrumbidgee. They range from small (OB-S1) to large (OB-L1). These codes are used only used in the Murrumbidgee although there are other overbank flows in other catchments, see EWR tables in Part B of the LTWPs. OB-*** applies when there is only one timing applied. The addition of _P and _S occurs when OB-** has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Murrumbidgee
Volumetric,Large fresh,"LF6, LF6_P, LF6_S","Volumetric large fresh EWRs. The addition of _P and _S occurs when LF6 has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Gwydir
Volumetric,Wetland inundating,"WL1, WL2, WL2_P, WL2_S, WL3, WL4, WL4_P, WL4_S","Wetland inundating large fresh EWRs that specify the volume required to achieve range of lateral wetland connectivity. The addition of _P and _S occurs when WL* has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).","Gwydir, Intersecting Streams"
Volumetric,Overbank,"OB/WL_P, OB/WL_S, OB/WM_P, OB/WM_S, OB/WS1_P, OB/WS1_S, OB/WS4_P, OB/WS4_S","Range of volumetric overbank EWRs that specify the volume required to achieve small (eg. OB/WS1_P) to large (eg. OB/WL_P) lateral inundation. The addition of _P and _S occurs when OB/W** or OB** has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Macquarie-Castlereagh
Volumetric,Overbank,"OB1_P, OB1_S, OB2_P, OB2_S, OB3_P, OB3_S, OB5","Range of volumetric overbank EWRs that specify the volume required to achieve small (eg. OB/WS1_P) to large (eg. OB/WL_P) lateral inundation. The addition of _P and _S occurs when OB/W** or OB** has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Gwydir
Multigauge,Multigauge,"OB/WS1_P, OB/WS1_S, OB/WS4_P, OB/WS4_S, OB/WM_P, OB/WM_S, OB/WL_P, OB/WL_S","Range of volumetric overbank and wetland inundating EWRs that specify the volume of flow at two combined gauges required to achieve small (eg. OB/WS1_P, WL1) to large (eg. OB/WL_P, WL4) lateral inundation. The addition of _P and _S occurs when the EWR has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Macquarie-Castlereagh
Multigauge,Multigauge,"WL1, WL2, WL3, WL4","Range of volumetric overbank and wetland inundating EWRs that specify the volume of flow at two combined gauges required to achieve small (eg. OB/WS1_P, WL1) to large (eg. OB/WL_P, WL4) lateral inundation. The addition of _P and _S occurs when the EWR has ""preferred"" seasonal period (_P) or anytime which is satisfactory (_S).",Intersecting Streams
Weir pool,Weir pool,WP1,Weir pool draw down EWR for summer to autumn,Murray Lower Darling
Weir pool,Weir pool,WP2,"Weir pool raising EWR for winter, spring and early summer",Murray Lower Darling
Weir pool,Weir pool,WP3,"Weir pool draw down EWR for winter spring. Only required under extended dry periods as a partial surrogate for small freshes (SF1,2). Should not be considered in isolation.",Murray Lower Darling
Weir pool,Weir pool,WP4,Weir pool draw down EWR for spring to early summer. Should not be considered isolation.,Murray Lower Darling
Weir pool,Weir pool,SF_WP,Specific small fresh EWR that has the seasonal timing requirements of small freshes that link to stage two in the weir pool assessment for WP3. Should not be considered in isolation.,Murray Lower Darling
Weir pool,Weir pool,SF_WP/WP3,EWR code presented in post processing for WP3 that represents the final assessment step for WP3 in relation to small freshes. The success or failure of the EWR represents the ultimate success or failure of WP3.,Murray Lower Darling
Weir pool,Weir pool,LF2_WP,Specific large fresh 2 EWR that has the seasonal timing requirements large fresh two that link to stage two in the weir pool assessment for WP4,Murray Lower Darling
Weir pool,Weir pool,LF2_WP/WP4,EWR code presented in post processing for WP4 that represents the final assessment step for WP4 in relation to small freshes. The success or failure of the EWR represents the ultimate success or failure of WP4.,Murray Lower Darling
Lake level,Lake level,LLLF,Low level lake fill,Murray Lower Darling
Lake level,Lake level,MLLF,Mid level lake fill,Murray Lower Darling
Lake level,Lake level,HLLF,High level lake fill. This EWR has a maximum duration as well as a minimum duration.,Murray Lower Darling
Lake level,Lake level,VHLL,Very high level lake fill. This EWR has a maximum duration as well as a minimum duration.,Murray Lower Darling
Lake level,Lake level,"WL3_S, WL3_P",Wetland EWR that is lake level for Lake Cargelligo planning unit. The >65% has been converted to mAHD via percent full and lake level data from NSW Realtime Water Data for purposes of assessment.,Lachlan
Nesting flow,Nesting flow,NestS1,Standard nesting flow EWR code when only one set of parameters present (eg. not two different timing windows or flow thresholds),"Murray Lower Darling, Murrumbidgee"
Nesting flow,Nesting flow,NestS1_mc,Specific timing window for Murray cod,Murrumbidgee
Nesting flow,Nesting flow,NestS1_tcmc,Specific timing window for trout cod and Murray cod.,Murrumbidgee
Nesting flow,Nesting flow,"NestS1a, NestS1b",Weir pool Nesting Flow EWRs in Murray River - Lock 15 weir pool to Lock 10 that has two different minimum thresholds. Presented as a and b.,Murray Lower Darling
